Year,Month,Day,Tair,Twat_obs,Twat_mod,Twat_obs_agg,Twat_mod_agg,Q,Tair_gap,Q_gap,segment_id
-999,-999,-999,7.802693939209007,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.559843953451036,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.355043029785008,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.655423736572004,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.879328664143998,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.502954101563034,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.452694193522008,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,5.704044596354038,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.241138712565032,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.239863332113032,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,8.986858622233001,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,6.850858306885016,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.280054982503032,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,11.08114776611302,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.235822296143,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,13.782846069336015,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.53954722086604,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,12.01186269124304,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.548028564453034,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,9.230035400391046,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,7.699910736084007,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.209689076741997,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
-999,-999,-999,10.721995290120049,-999.0,-999.0,-999.0,-999.0,-999.0,0,1,-999
