DateTime,Air Temperature (1.5m)
2021-12-25,16.282986
2021-12-26,16.21007
2021-12-27,15.769445
2021-12-28,16.430208
2021-12-29,16.305556
2021-12-30,14.26041665
2021-12-31,12.869792
2022-01-01,14.6281251
2022-01-02,15.54479161
2022-01-03,17.55382
2022-01-04,17.240625
2022-01-05,18.66493
2022-01-06,18.667014
2022-01-07,15.6763889
2022-01-08,11.639236
2022-01-09,13.253472
2022-01-10,15.5190973
2022-01-11,15.460764
2022-01-12,16.684375
2022-01-13,15.3041667
2022-01-14,12.6371528
2022-01-15,11.7788194
2022-01-16,13.41632
2022-01-17,13.660416626
2022-01-18,15.33090278
2022-01-19,14.919097241
2022-01-20,15.35416666
2022-01-21,14.13472228
2022-01-22,13.79340279
2022-01-23,15.9024306
2022-01-24,17.5125
2022-01-25,16.89757
2022-01-26,16.947917
2022-01-27,19.177083
2022-01-28,12.7
2022-01-29,11.6826389
2022-01-30,14.920833
2022-01-31,15.8135417
2022-02-01,17.7680555
2022-02-02,18.109375
2022-02-03,18.940625
2022-02-04,19.455903
2022-02-05,19.05382
2022-02-06,17.975347
2022-02-07,15.2309028
2022-02-08,16.822569
2022-02-09,20.521181
2022-02-10,21.569097
2022-02-11,21.562847
2022-02-12,19.227778
2022-02-13,21.288889
2022-02-14,15.561458309
2022-02-15,9.6239583
2022-02-16,11.1600694
2022-02-17,12.0336806
2022-02-18,14.290625009
2022-02-19,16.445486
2022-02-20,16.136458
2022-02-21,13.995486
2022-02-22,16.152083
2022-02-23,16.750347
2022-02-24,13.2934028
2022-02-25,11.651736
2022-02-26,12.5715278
2022-02-27,13.8513889
2022-02-28,11.843056
2022-03-01,10.180208
2022-03-02,12.3361111
2022-03-03,10.105208
2022-03-04,10.854514
2022-03-05,12.778472
2022-03-06,14.476736
2022-03-07,14.905556
2022-03-08,16.11875
2022-03-09,16.153125
2022-03-10,16.49132
2022-03-11,15.577778
2022-03-12,15.55312501
2022-03-13,15.11840277
2022-03-14,13.9996528
2022-03-15,11.473958
2022-03-16,11.1100694
2022-03-17,10.7635417
2022-03-18,10.1979166
2022-03-19,8.979514
2022-03-20,11.26007
2022-03-21,14.594444
2022-03-22,15.390278
2022-03-23,18.5
2022-03-24,15.706944
2022-03-25,13.948958
2022-03-26,11.734028
2022-03-27,10.4201389
2022-03-28,10.273958
2022-03-29,10.0753472
2022-03-30,13.126736
2022-03-31,14.839583341
2022-04-01,13.2503472
2022-04-02,12.6701389
2022-04-03,14.83888892
2022-04-04,15.184028
2022-04-05,13.373264
2022-04-06,13.239236
2022-04-07,15.328125
2022-04-08,8.660764
2022-04-09,7.524653
2022-04-10,8.240625
2022-04-11,8.215625
2022-04-12,9.033333
2022-04-13,11.877778
2022-04-14,9.985417
2022-04-15,7.095139
2022-04-16,6.742014
2022-04-17,9.0986111
2022-04-18,9.5680555
2022-04-19,11.827778
2022-04-20,15.9656249682
2022-04-21,16.032639
2022-04-22,17.490625
2022-04-23,11.4975695
2022-04-24,5.389583
2022-04-25,9.8076389
2022-04-26,10.3475695
2022-04-27,9.4524305
2022-04-28,9.543056
2022-04-29,6.928125
2022-04-30,7.207638916
2022-05-01,7.0618056
2022-05-02,8.060417
2022-05-03,9.926042
2022-05-04,10.170833
2022-05-05,10.52118
2022-05-06,10.424306
2022-05-07,9.706944
2022-05-08,9.890972
2022-05-09,9.6413194
2022-05-10,10.890625
2022-05-11,7.975347
2022-05-12,4.6006945
2022-05-13,2.8496528
2022-05-14,5.107986
2022-05-15,8.7475694
2022-05-16,11.8934028
2022-05-17,12.667708
2022-05-18,13.728472
2022-05-19,12.0069445
2022-05-20,11.2486111
2022-05-21,7.5350694
2022-05-22,6.507986
2022-05-23,8.659722
2022-05-24,7.271528
2022-05-25,5.508333
2022-05-26,7.19097223
2022-05-27,5.2465278
2022-05-28,2.9239583
2022-05-29,3.953125
2022-05-30,6.3899305
2022-05-31,12.9440973
2022-06-01,11.507986
2022-06-02,13.1013889
2022-06-03,8.939583
2022-06-04,8.4388889
2022-06-05,5.0260416
2022-06-06,3.6690972
2022-06-07,10.7951389
2022-06-08,13.0663194
2022-06-09,9.03993
2022-06-10,8.53993
2022-06-11,8.332986
2022-06-12,8.065625
2022-06-13,8.22882
2022-06-14,6.298611
2022-06-15,6.826389
2022-06-16,7.9725694
2022-06-17,8.286111
2022-06-18,8.309028
2022-06-19,8.41493
2022-06-20,5.302778
2022-06-21,3.2805556
2022-06-22,1.720139
2022-06-23,0.9684028
2022-06-24,1.3444445
2022-06-25,4.6399306
2022-06-26,9.5881945
2022-06-27,7.0277778
2022-06-28,5.9267361
2022-06-29,3.7173611
2022-06-30,6.0809028
2022-07-01,5.8385417
2022-07-02,6.2100694
2022-07-03,5.257986
2022-07-04,6.2333334
2022-07-05,5.162153
2022-07-06,6.4020833
2022-07-07,6.5930556
2022-07-08,3.45
2022-07-09,11.8347222
2022-07-10,9.924306
2022-07-11,7.04340277
2022-07-12,7.70729165
2022-07-13,11.7277778
2022-07-14,9.1253472
2022-07-15,7.9444445
2022-07-16,5.328125
2022-07-17,2.864236
2022-07-18,2.7690972
2022-07-19,3.84548611
2022-07-20,10.269792
2022-07-21,8.500694
2022-07-22,3.5430556
2022-07-23,2.726736
2022-07-24,2.0006945
2022-07-25,3.547916688
2022-07-26,7.76805556
2022-07-27,12.081944
2022-07-28,9.234028
2022-07-29,8.4583333
2022-07-30,7.08923608
2022-07-31,7.131597
2022-08-01,3.4618056
2022-08-02,2.3854167
2022-08-03,5.896528
2022-08-04,8.263542
2022-08-05,6.962153
2022-08-06,4.409375
2022-08-07,6.3003472
2022-08-08,9.257986
2022-08-09,6.813542
2022-08-10,5.7256944
2022-08-11,3.0725694
2022-08-12,0.371875
2022-08-13,0.5875
2022-08-14,0.975
2022-08-15,2.1236111
2022-08-16,3.651389
2022-08-17,9.05243
2022-08-18,13.9440972
2022-08-19,15.5541667
2022-08-20,16.9819445
2022-08-21,15.8298611
2022-08-22,10.7850694
2022-08-23,9.2163195
2022-08-24,7.366667
2022-08-25,6.2819445
2022-08-26,7.254861
2022-08-27,9.840625
2022-08-28,6.172917
2022-08-29,5.172917
2022-08-30,4.4166667
2022-08-31,5.454167
2022-09-01,4.9197917
2022-09-02,6.5517361
2022-09-03,7.3625
2022-09-04,7.3878472
2022-09-05,6.8885417
2022-09-06,4.4795139
2022-09-07,1.0899306
2022-09-08,3.8447917
2022-09-09,5.5263889
2022-09-10,6.0416667
